dataset,pruning,seed,epsilon,property_group,result
JPL,prune0.3,100.0,0.0008,0-49,15
JPL,prune0.3,100.0,0.0008,50-99,36
JPL,prune0.3,100.0,0.0009,0-49,10
JPL,prune0.3,100.0,0.0009,50-99,36
JPL,prune0.4,10.0,0.0003,0-49,37
JPL,prune0.4,10.0,0.0003,50-99,38
JPL,prune0.4,10.0,0.0005,0-49,30
JPL,prune0.4,10.0,0.0005,50-99,37
JPL,prune0.4,10.0,0.0006,0-49,24
JPL,prune0.4,10.0,0.0006,50-99,37
JPL,prune0.4,10.0,0.0007,0-49,16
JPL,prune0.4,10.0,0.0007,50-99,34
JPL,prune0.4,10.0,0.0008,0-49,10
JPL,prune0.4,10.0,0.0008,50-99,30
JPL,prune0.4,10.0,0.0009,0-49,3
JPL,prune0.4,10.0,0.0009,50-99,17
JPL,prune0.4,20.0,0.0003,0-49,38
JPL,prune0.4,20.0,0.0003,50-99,38
JPL,prune0.4,20.0,0.0005,0-49,29
JPL,prune0.4,20.0,0.0005,50-99,37
JPL,prune0.4,20.0,0.0006,0-49,22
JPL,prune0.4,20.0,0.0006,50-99,37
JPL,prune0.4,20.0,0.0007,0-49,13
JPL,prune0.4,20.0,0.0007,50-99,35
JPL,prune0.4,20.0,0.0008,0-49,7
JPL,prune0.4,20.0,0.0008,50-99,31
JPL,prune0.4,20.0,0.0009,0-49,1
JPL,prune0.4,20.0,0.0009,50-99,19
JPL,prune0.4,30.0,0.0003,0-49,42
JPL,prune0.4,30.0,0.0003,50-99,39
JPL,prune0.4,30.0,0.0005,0-49,34
JPL,prune0.4,30.0,0.0005,50-99,38
JPL,prune0.4,30.0,0.0006,0-49,26
JPL,prune0.4,30.0,0.0006,50-99,37
JPL,prune0.4,30.0,0.0007,0-49,22
JPL,prune0.4,30.0,0.0007,50-99,37
JPL,prune0.4,30.0,0.0008,0-49,17
JPL,prune0.4,30.0,0.0008,50-99,36
JPL,prune0.4,30.0,0.0009,0-49,13
JPL,prune0.4,30.0,0.0009,50-99,36
JPL,prune0.4,40.0,0.0003,0-49,39
JPL,prune0.4,40.0,0.0003,50-99,43
JPL,prune0.4,40.0,0.0005,0-49,31
JPL,prune0.4,40.0,0.0005,50-99,38
JPL,prune0.4,40.0,0.0006,0-49,25
JPL,prune0.4,40.0,0.0006,50-99,38
JPL,prune0.4,40.0,0.0007,0-49,18
JPL,prune0.4,40.0,0.0007,50-99,37
JPL,prune0.4,40.0,0.0008,0-49,10
JPL,prune0.4,40.0,0.0008,50-99,36
JPL,prune0.4,40.0,0.0009,0-49,5
JPL,prune0.4,40.0,0.0009,50-99,36
JPL,prune0.4,50.0,0.0003,0-49,38
JPL,prune0.4,50.0,0.0003,50-99,39
JPL,prune0.4,50.0,0.0005,0-49,32
JPL,prune0.4,50.0,0.0005,50-99,36
JPL,prune0.4,50.0,0.0006,0-49,24
JPL,prune0.4,50.0,0.0006,50-99,36
JPL,prune0.4,50.0,0.0007,0-49,14
JPL,prune0.4,50.0,0.0007,50-99,33
JPL,prune0.4,50.0,0.0008,0-49,8
JPL,prune0.4,50.0,0.0008,50-99,23
JPL,prune0.4,50.0,0.0009,0-49,0
JPL,prune0.4,50.0,0.0009,50-99,14
JPL,prune0.4,60.0,0.0003,0-49,43
JPL,prune0.4,60.0,0.0003,50-99,40
JPL,prune0.4,60.0,0.0005,0-49,36
JPL,prune0.4,60.0,0.0005,50-99,38
JPL,prune0.4,60.0,0.0006,0-49,33
JPL,prune0.4,60.0,0.0006,50-99,38
JPL,prune0.4,60.0,0.0007,0-49,27
JPL,prune0.4,60.0,0.0007,50-99,38
JPL,prune0.4,60.0,0.0008,0-49,17
JPL,prune0.4,60.0,0.0008,50-99,36
JPL,prune0.4,60.0,0.0009,0-49,13
JPL,prune0.4,60.0,0.0009,50-99,35
JPL,prune0.4,70.0,0.0003,0-49,44
JPL,prune0.4,70.0,0.0003,50-99,42
JPL,prune0.4,70.0,0.0005,0-49,40
JPL,prune0.4,70.0,0.0005,50-99,39
JPL,prune0.4,70.0,0.0006,0-49,35
JPL,prune0.4,70.0,0.0006,50-99,38
JPL,prune0.4,70.0,0.0007,0-49,27
JPL,prune0.4,70.0,0.0007,50-99,37
JPL,prune0.4,70.0,0.0008,0-49,21
JPL,prune0.4,70.0,0.0008,50-99,35
JPL,prune0.4,70.0,0.0009,0-49,14
JPL,prune0.4,70.0,0.0009,50-99,34
